candidate,challenger,mode,blended_component_count,challenger_alpha,profile,profile_family,profile_size,profile_component_ratio,profile_selector_gate,profile_min_active_slices,profile_quantile,profile_probability_weighted,profile_heatmap_guard_ratio,mae_mm,rmse_mm,bias_mm,f1_3mm,f1_5mm,boundary_f1,selection_objective,mae_pass,boundary_f1_pass,selection_objective_pass,all_release_gates_pass
exp20_epoch21__baseline_selector_peak__a0p075,exp20_epoch21,baseline_selector_peak,2,0.075,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.535993255430193,2.54813864766351,-0.38079348188727635,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7662962857332234,True,False,False,False
exp20_epoch21__baseline_selector_peak__a0p075,exp20_epoch21,baseline_selector_peak,2,0.075,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.5984715166376595,2.6979091856805777,-0.3183152206798096,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.82877454694069,False,False,False,False
exp20_epoch21__baseline_selector_peak__a0p1,exp20_epoch21,baseline_selector_peak,2,0.1,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5333893455676177,2.5511529943292377,-0.3973520780677226,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7636923758706482,True,False,False,False
exp20_epoch21__baseline_selector_peak__a0p1,exp20_epoch21,baseline_selector_peak,2,0.1,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.595242914512976,2.6911039146428193,-0.33549850912236456,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8255459448160065,False,False,False,False
exp20_epoch21__regression_only__a0p01,exp20_epoch21,regression_only,1,0.01,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5479824584989403,2.5456889014514017,-0.3421604437258707,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7627972733137551,True,True,False,False
exp20_epoch21__regression_only__a0p01,exp20_epoch21,regression_only,1,0.01,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6120849195878892,2.7213790461278182,-0.27805798263692155,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.826899734402704,False,True,False,False
exp20_epoch21__regression_only__a0p025,exp20_epoch21,regression_only,1,0.025,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5471588823332714,2.5467705752218617,-0.3530535834049112,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7619736971480862,True,True,False,False
exp20_epoch21__regression_only__a0p025,exp20_epoch21,regression_only,1,0.025,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6108865280649554,2.7163621107003646,-0.2893259376732271,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.8257013428797702,False,True,False,False
exp20_epoch21__regression_only__a0p05,exp20_epoch21,regression_only,1,0.05,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5453857702995415,2.5490321650618646,-0.3708083311123636,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.775688800602572,True,False,False,False
exp20_epoch21__regression_only__a0p05,exp20_epoch21,regression_only,1,0.05,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6084887237691168,2.708549995209698,-0.3077053776427883,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8387917540721472,False,False,False,False
exp20_epoch21__regression_only__a0p075,exp20_epoch21,regression_only,1,0.075,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.535993255430193,2.54813864766351,-0.38079348188727635,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7662962857332234,True,False,False,False
exp20_epoch21__regression_only__a0p075,exp20_epoch21,regression_only,1,0.075,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.5984715166376595,2.6979091856805777,-0.3183152206798096,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.82877454694069,False,False,False,False
exp20_epoch21__regression_only__a0p1,exp20_epoch21,regression_only,1,0.1,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5333893455676177,2.5511529943292377,-0.3973520780677226,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7636923758706482,True,False,False,False
exp20_epoch21__regression_only__a0p1,exp20_epoch21,regression_only,1,0.1,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.595242914512976,2.6911039146428193,-0.33549850912236456,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8255459448160065,False,False,False,False
